company_id,row_type,cumulativeFunding_year,cumulativeFunding_value
125,cumulativeFunding,2025,2700000
125,cumulativeFunding,,2700000
127,cumulativeFunding,2021,300000
127,cumulativeFunding,2022,300000
127,cumulativeFunding,2023,300000
127,cumulativeFunding,2024,300000
127,cumulativeFunding,2025,300000
127,cumulativeFunding,,300000
128,cumulativeFunding,2018,1000000
128,cumulativeFunding,2019,1000000
128,cumulativeFunding,2020,2300000
128,cumulativeFunding,2021,3700000
128,cumulativeFunding,2022,3700000
128,cumulativeFunding,2023,3700000
128,cumulativeFunding,2024,3700000
128,cumulativeFunding,2025,3700000
128,cumulativeFunding,,3700000
131,cumulativeFunding,2016,900000
131,cumulativeFunding,2017,2648000
131,cumulativeFunding,2018,2648000
131,cumulativeFunding,2019,21003000
131,cumulativeFunding,2020,21003000
131,cumulativeFunding,2021,21003000
131,cumulativeFunding,2022,30899000
131,cumulativeFunding,2023,45899000
131,cumulativeFunding,2024,45899000
131,cumulativeFunding,2025,45899000
131,cumulativeFunding,,45899000
133,cumulativeFunding,2021,
133,cumulativeFunding,2022,1930000
133,cumulativeFunding,2023,1930000
133,cumulativeFunding,2024,1930000
133,cumulativeFunding,2025,1930000
133,cumulativeFunding,,1930000
134,cumulativeFunding,2023,30000
134,cumulativeFunding,2024,30000
134,cumulativeFunding,2025,30000
134,cumulativeFunding,,30000
135,cumulativeFunding,2017,120000
135,cumulativeFunding,2018,120000
135,cumulativeFunding,2019,1720000
135,cumulativeFunding,2020,1720000
135,cumulativeFunding,2021,6720000
135,cumulativeFunding,2022,6720000
135,cumulativeFunding,2023,6720000
135,cumulativeFunding,2024,6720000
135,cumulativeFunding,2025,6720000
135,cumulativeFunding,,6720000
136,cumulativeFunding,2019,
136,cumulativeFunding,2020,
136,cumulativeFunding,2021,1050000
136,cumulativeFunding,2022,36050000
136,cumulativeFunding,2023,36050000
136,cumulativeFunding,2024,36050000
136,cumulativeFunding,2025,36050000
136,cumulativeFunding,,36050000
140,cumulativeFunding,2010,1800000
140,cumulativeFunding,2011,1800000
140,cumulativeFunding,2012,1800000
140,cumulativeFunding,2013,4500000
140,cumulativeFunding,2014,12500000
140,cumulativeFunding,2015,12500000
140,cumulativeFunding,2016,21300000
140,cumulativeFunding,2017,21300000
140,cumulativeFunding,2018,21300000
140,cumulativeFunding,2019,21300000
140,cumulativeFunding,2020,22300000
140,cumulativeFunding,2021,28300000
140,cumulativeFunding,2022,28300000
140,cumulativeFunding,2023,28300000
140,cumulativeFunding,2024,28300000
140,cumulativeFunding,2025,28300000
140,cumulativeFunding,,28300000
142,cumulativeFunding,2005,7000000
142,cumulativeFunding,2006,21000000
142,cumulativeFunding,2007,35000000
142,cumulativeFunding,2008,35000000
142,cumulativeFunding,2009,45000000
142,cumulativeFunding,2010,45000000
142,cumulativeFunding,2011,60000000
142,cumulativeFunding,2012,60000000
142,cumulativeFunding,2013,60000000
142,cumulativeFunding,2014,60000000
142,cumulativeFunding,2015,60000000
142,cumulativeFunding,2016,60000000
142,cumulativeFunding,2017,60000000
142,cumulativeFunding,2018,60000000
142,cumulativeFunding,2019,60000000
142,cumulativeFunding,2020,60000000
142,cumulativeFunding,2021,60000000
142,cumulativeFunding,2022,60000000
142,cumulativeFunding,2023,60000000
142,cumulativeFunding,2024,60000000
142,cumulativeFunding,2025,60000000
142,cumulativeFunding,,60000000
145,cumulativeFunding,2021,2700000
145,cumulativeFunding,2022,2700000
145,cumulativeFunding,2023,2700000
145,cumulativeFunding,2024,2700000
145,cumulativeFunding,2025,2700000
145,cumulativeFunding,,2700000
147,cumulativeFunding,2017,10000000
147,cumulativeFunding,2018,10000000
147,cumulativeFunding,2019,10000000
147,cumulativeFunding,2020,35300000
147,cumulativeFunding,2021,35300000
147,cumulativeFunding,2022,35300000
147,cumulativeFunding,2023,35300000
147,cumulativeFunding,2024,35300000
147,cumulativeFunding,2025,35300000
147,cumulativeFunding,,35300000
148,cumulativeFunding,2022,
148,cumulativeFunding,2023,30000
148,cumulativeFunding,2024,30000
148,cumulativeFunding,2025,30000
148,cumulativeFunding,,30000
151,cumulativeFunding,2022,20000000
151,cumulativeFunding,2023,55000000
151,cumulativeFunding,2024,55000000
151,cumulativeFunding,2025,55000000
151,cumulativeFunding,,55000000
152,cumulativeFunding,2016,2620000
152,cumulativeFunding,2017,2620000
152,cumulativeFunding,2018,2620000
152,cumulativeFunding,2019,2620000
152,cumulativeFunding,2020,2620000
152,cumulativeFunding,2021,2620000
152,cumulativeFunding,2022,2620000
152,cumulativeFunding,2023,2620000
152,cumulativeFunding,2024,2620000
152,cumulativeFunding,2025,2620000
152,cumulativeFunding,,2620000
153,cumulativeFunding,2020,35000000
153,cumulativeFunding,2021,35000000
153,cumulativeFunding,2022,135000000
153,cumulativeFunding,2023,135000000
153,cumulativeFunding,2024,135000000
153,cumulativeFunding,2025,135000000
153,cumulativeFunding,,135000000
154,cumulativeFunding,2015,214280
154,cumulativeFunding,2016,214280
154,cumulativeFunding,2017,214280
154,cumulativeFunding,2018,214280
154,cumulativeFunding,2019,214280
154,cumulativeFunding,2020,214280
154,cumulativeFunding,2021,214280
154,cumulativeFunding,2022,214280
154,cumulativeFunding,2023,414280
154,cumulativeFunding,2024,414280
154,cumulativeFunding,2025,414280
154,cumulativeFunding,,414280
155,cumulativeFunding,2013,3000000
155,cumulativeFunding,2014,3000000
155,cumulativeFunding,2015,3000000
155,cumulativeFunding,2016,3000000
155,cumulativeFunding,2017,3000000
155,cumulativeFunding,2018,3000000
155,cumulativeFunding,2019,8000000
155,cumulativeFunding,2020,8000000
155,cumulativeFunding,2021,8000000
155,cumulativeFunding,2022,8000000
155,cumulativeFunding,2023,8000000
155,cumulativeFunding,2024,8000000
155,cumulativeFunding,2025,8000000
155,cumulativeFunding,,8000000
156,cumulativeFunding,2024,7000000
156,cumulativeFunding,2025,7000000
156,cumulativeFunding,,7000000
157,cumulativeFunding,2011,1100000
157,cumulativeFunding,2012,1100000
157,cumulativeFunding,2013,1100000
157,cumulativeFunding,2014,1100000
157,cumulativeFunding,2015,6100000
157,cumulativeFunding,2016,18100000
157,cumulativeFunding,2017,18100000
157,cumulativeFunding,2018,18100000
157,cumulativeFunding,2019,18100000
157,cumulativeFunding,2020,18100000
157,cumulativeFunding,2021,18100000
157,cumulativeFunding,2022,18100000
157,cumulativeFunding,2023,18100000
157,cumulativeFunding,2024,18100000
157,cumulativeFunding,2025,18100000
157,cumulativeFunding,,18100000
158,cumulativeFunding,2018,4500000
158,cumulativeFunding,2019,4500000
158,cumulativeFunding,2020,13000000
158,cumulativeFunding,2021,13000000
158,cumulativeFunding,2022,13000000
158,cumulativeFunding,2023,22000000
158,cumulativeFunding,2024,22000000
158,cumulativeFunding,2025,22000000
158,cumulativeFunding,,22000000
162,cumulativeFunding,2017,1500000
162,cumulativeFunding,2018,1500000
162,cumulativeFunding,2019,1500000
162,cumulativeFunding,2020,1500000
162,cumulativeFunding,2021,1500000
