company_id,row_type,investor_id,investor_name,investor_position
6543,company_investor,17834,Eytan  Markovitz,General Manager
6543,company_investor,17835,Lior Koller,Sales Manager
6544,company_investor,17836,Udi Ernst,Co-founder & CEO
6544,company_investor,17837,Tal Pargament,Co-founder & Product Manager
6545,company_investor,17838,Ohad Levi,Co-founder & CEO
6545,company_investor,17839,Max Nigri,Co-founder & CTO
6545,company_investor,17840,Tamar Arvatz,Head of People and Operations
6545,company_investor,17841,Amit  Shrim, Business Development Lead
6546,company_investor,17842,Moti     Rivlin  ,Co-Founder
6547,company_investor,17843,Alex Sciller,Co-founder & CEO
6547,company_investor,3871,Gilad Cohen,Co-founder & CBDO
6547,company_investor,17844,Liad Mandelboum,Co-founder & CTO
6548,company_investor,17845,Shahar Millis,CEO
6548,company_investor,17846,Ishay Benuri,Founder
6549,company_investor,17847,Dominic Edmunds,CEO
6549,company_investor,17848,Roi Shilo,Co-founder & CTO
6549,company_investor,17849,Trevor Nicholson,CFO
6550,company_investor,17850,Oshrit  Yosef,Co-founder
6550,company_investor,17851,Dudu  Aharon,Co-founder & CMO
6550,company_investor,17852,Eran Graff,VP Global Channels
6551,company_investor,7651,Ran Carmeli,CEO
6552,company_investor,17853,Menashe Zelicha,Co-founder & CEO
6552,company_investor,17854,Royi  Levav,Co-founder & CTO
6549,company_investor,17855,Ori Elkin,Head Of Engineering and PM
6549,company_investor,17856,Rebecca Waiting,Head of Customer Success
6549,company_investor,17857,Moray Souter,Head of Marketing
6551,company_investor,17858,Sabina Ifraimov,VP R&D
6551,company_investor,17859,Guy Varon,VP of Business Development and Sustainability
6553,company_investor,17860,Mickey Balter,Co-Founder & CEO
6554,company_investor,17861,Jeremie Brabet-Adonajlo,Founder & CEO
6554,company_investor,17862,Jonathan Ahnine,Tech Lead
6555,company_investor,17863,Shai Homski,Co-founder & CTO
6555,company_investor,13310,Ran Soffer,Co-founder (No longer with the company)
6553,company_investor,17864,Amiram Frish,Co-Founder & CTO
6553,company_investor,17865,Yehuda Sabag,VP R&D
6556,company_investor,17866,Nadav Golander ,Co-Founder & CEO
6556,company_investor,17867,Assaf Kornberg,Co-Founder & COO
6557,company_investor,17868,Liat Levi,CEO
6557,company_investor,17869,Yehoda Levi,Owner
6558,company_investor,17870,Nir Halperin,Founder & CEO
6559,company_investor,17871,Yair Miron,Founder & CEO
6560,company_investor,17872,Itamar Lupo,Co-founder & CEO
6560,company_investor,17873,Shaul Naschitz,Co-founder & Chief Scientist
6560,company_investor,17874,Erez Reinshmidt,VP R&D
6560,company_investor,17875,Guy Fleischman,Project Manager
6561,company_investor,17876,Yossi Meshulam,CEO
6561,company_investor,17877,Danny  Lavie,Co-Founder
6561,company_investor,17878,Eyal  Eliav,"Co-Founder, Design & Hardware"
6561,company_investor,8346,Ronit Tal,Marcom Manager
6562,company_investor,17879,Udi Dahan,Founder & CEO
6562,company_investor,17880, Willie Levy,VP Sales
6562,company_investor,17881,Yifat  Shani,Marketing director
6563,company_investor,17882,Eric Ben-Mayor,CEO
6564,company_investor,17883,Uri  Orbach,CEO
